Date,Region,pm25,pm10,o3,no2,so2,co,aqi
2016-04-25,West,14.67,24.8,34.07,54.6,42.67,0.55,53.8
2016-04-26,West,19.67,31.17,21.79,49.83,24.12,0.4,59.54
2016-04-27,West,25.21,40.96,16.42,74.88,20.46,0.81,65.75
2016-04-28,West,25.38,43.42,15.12,75.5,15.08,0.86,65.88
2016-04-29,West,27.79,46.46,13.12,79.21,12.46,0.96,68.75
2016-04-30,West,25.21,39.88,39.08,43.29,11.67,0.64,65.62
2016-05-01,West,24.79,38.46,30.21,46.92,14.33,0.72,65.29
2016-05-02,West,14.5,24.25,22.29,33.71,14.58,0.42,53.29
2016-05-03,West,16.75,28.38,19.79,48.21,12.42,0.71,56.38
2016-05-04,West,14.33,28.5,33.0,34.54,14.08,0.51,53.54
2016-05-05,West,13.54,26.88,26.75,34.29,8.58,0.49,52.58
2016-05-06,West,19.54,39.29,22.83,38.92,7.5,0.73,60.17
2016-05-07,West,17.38,68.81,12.29,46.1,11.0,0.77,64.62
2016-05-08,West,16.58,29.67,17.21,32.42,19.88,0.62,56.04
2016-05-09,West,19.38,32.54,26.25,42.12,18.46,0.69,59.25
2016-05-10,West,12.04,24.29,13.0,46.42,10.38,0.69,48.58
2016-05-11,West,17.79,32.38,22.21,47.75,13.38,0.87,57.42
2016-05-12,West,13.33,25.08,14.42,45.67,14.79,0.48,52.04
2016-05-13,West,14.79,27.54,13.46,32.08,21.83,0.38,53.75
2016-05-14,West,13.04,26.25,14.42,35.0,14.25,0.42,50.33
2016-05-15,West,13.38,27.42,23.96,39.21,26.92,0.34,52.46
2016-05-16,West,10.26,20.61,32.87,21.13,14.87,0.55,42.57
2016-05-17,West,16.17,29.42,18.42,63.54,9.33,0.65,54.5
2016-05-18,West,26.75,44.58,12.25,55.21,19.71,0.7,67.58
2016-05-19,West,12.5,24.5,18.38,37.21,8.88,0.56,47.75
2016-05-20,West,11.83,24.33,18.5,34.0,21.5,0.45,49.88
2016-05-21,West,12.88,25.96,25.75,16.12,12.17,0.4,51.79
2016-05-22,West,7.96,18.21,32.5,25.5,15.5,0.27,33.33
2016-05-23,West,11.5,22.12,34.04,34.58,35.25,0.41,46.88
2016-05-24,West,12.21,22.12,22.92,32.0,39.33,0.31,47.71
2016-05-25,West,10.33,20.62,23.29,36.62,38.83,0.33,43.5
2016-05-26,West,9.29,18.46,18.29,31.92,40.71,0.27,38.96
2016-05-27,West,8.62,17.62,24.29,26.75,34.5,0.28,35.38
2016-05-28,West,10.35,20.18,16.59,29.18,36.71,0.37,43.18
2016-06-01,West,22.88,37.12,16.5,59.88,22.5,0.5,63.38
2016-06-02,West,18.59,31.55,18.95,60.0,28.32,0.71,58.32
2016-06-03,West,22.75,38.88,18.88,64.33,26.96,1.12,63.08
2016-06-04,West,22.45,38.86,11.45,58.45,12.82,0.96,62.68
2016-06-05,West,20.17,36.0,21.12,42.04,16.42,0.99,60.17
2016-06-06,West,14.21,26.71,23.33,36.58,35.0,0.71,53.46
2016-06-07,West,17.88,31.96,18.62,41.08,29.83,0.85,57.54
2016-06-08,West,19.75,36.04,14.17,43.92,20.17,1.04,59.71
2016-06-09,West,19.13,31.87,21.39,40.74,21.09,0.97,59.04
2016-06-10,West,18.85,31.2,26.4,38.95,30.0,0.42,58.65
2016-06-11,West,16.62,29.83,18.67,33.67,32.12,0.3,56.21
2016-06-12,West,9.08,19.29,20.08,25.08,35.08,0.23,38.21
2016-06-13,West,9.5,18.88,16.04,28.67,25.88,0.29,39.46
2016-06-14,West,11.96,22.83,18.65,34.61,14.52,0.34,48.87
2016-06-15,West,13.39,25.65,13.78,33.48,31.96,0.42,52.13
2016-06-16,West,9.54,19.08,15.79,36.75,23.88,0.4,40.08
2016-06-17,West,9.05,20.14,15.0,29.55,26.73,0.48,37.95
2016-06-18,West,6.75,15.08,21.04,30.67,13.33,0.65,27.58
2016-06-19,West,11.33,22.92,26.88,14.75,7.46,0.78,47.29
2016-06-20,West,12.73,24.05,37.41,18.5,7.68,0.73,50.73
2016-06-21,West,10.42,20.79,28.83,26.88,12.46,0.55,43.08
2016-06-22,West,14.55,27.18,9.45,52.05,22.14,0.65,53.95
2016-06-23,West,14.65,27.3,18.91,33.91,24.48,0.41,53.87
2016-06-24,West,12.21,23.33,21.96,36.96,26.29,0.34,50.25
2016-06-25,West,13.76,24.52,17.81,23.81,34.43,0.34,52.9
2016-06-26,West,9.38,19.67,26.42,19.96,30.17,0.28,38.71
2016-06-27,West,9.75,20.17,20.88,25.46,30.42,0.26,41.33
2016-06-28,West,8.55,20.05,19.27,24.68,25.27,0.25,35.91
2016-06-29,West,11.29,29.71,23.86,33.52,23.76,0.3,47.29
2016-06-30,West,16.26,35.65,26.13,38.87,26.17,0.3,55.61
2016-07-01,West,17.95,35.9,26.95,31.1,25.65,0.29,57.7
2016-07-02,West,20.33,38.92,21.62,27.17,31.08,0.31,60.29
2016-07-03,West,16.75,35.5,26.58,16.46,36.25,0.3,56.17
2016-07-04,West,14.71,30.62,21.92,23.46,39.96,0.28,54.08
2016-07-05,West,13.35,26.83,16.7,21.96,36.91,0.3,52.09
2016-07-06,West,11.46,22.17,14.62,23.88,35.38,0.4,47.54
2016-07-07,West,11.78,20.3,18.0,24.48,38.65,0.47,48.61
2016-07-08,West,12.62,22.71,14.54,31.46,49.92,0.45,50.04
2016-07-09,West,12.71,23.92,14.67,26.75,34.5,0.56,51.08
2016-07-10,West,8.92,20.29,18.0,25.17,26.62,0.4,36.92
2016-07-11,West,13.83,24.67,13.08,32.46,20.17,0.69,51.5
2016-07-12,West,13.62,23.71,13.08,37.21,27.12,0.52,52.58
2016-07-13,West,12.08,23.25,7.5,33.67,25.33,0.55,49.12
2016-07-14,West,16.0,28.0,14.31,34.23,20.77,0.82,55.31
2016-07-15,West,17.88,30.62,10.25,19.25,18.5,0.54,57.38
2016-07-16,West,13.17,23.92,20.75,27.75,14.75,0.58,51.71
2016-07-17,West,10.83,19.54,38.92,13.79,12.29,0.35,45.17
2016-07-18,West,10.78,19.87,22.78,22.13,9.13,0.39,45.26
2016-07-19,West,7.7,15.7,30.7,11.96,8.26,0.24,31.78
2016-07-20,West,7.5,15.46,17.62,30.17,10.46,0.29,31.5
2016-07-21,West,11.79,20.58,13.38,28.79,17.21,0.32,49.21
2016-07-22,West,14.05,23.62,6.52,36.24,18.76,0.41,52.14
2016-07-23,West,14.38,24.08,14.17,37.38,18.58,0.41,53.38
2016-07-24,West,12.08,21.58,6.92,28.25,25.17,0.29,47.67
2016-07-25,West,9.9,19.1,5.57,33.76,24.29,0.5,40.95
2016-07-26,West,15.48,28.96,3.43,38.78,17.83,3.44,71.91
2016-07-27,West,19.71,33.46,15.62,39.04,24.58,0.54,59.54
2016-07-28,West,18.95,31.36,10.45,31.05,25.73,0.49,58.82
