Date,Region,pm25,pm10,o3,no2,so2,co,aqi
2016-06-17,National,16.95,29.05,17.45,42.86,31.59,0.7,56.5
2016-06-18,National,11.17,23.42,24.67,56.62,33.04,0.7,45.62
2016-06-19,National,18.08,33.29,35.96,43.42,17.62,0.78,57.67
2016-06-20,National,15.36,30.09,40.5,47.95,18.59,0.74,54.68
2016-06-21,National,18.29,31.71,33.54,59.25,28.58,0.62,58.12
2016-06-22,National,21.5,40.23,19.77,64.73,24.36,0.68,61.59
2016-06-23,National,15.3,31.22,24.0,40.48,26.39,0.63,54.61
2016-06-24,National,12.71,25.25,24.67,43.17,26.29,0.5,51.29
2016-06-25,National,14.05,25.29,19.62,34.57,34.43,0.55,53.29
2016-06-26,National,11.04,21.42,26.42,34.67,30.17,0.45,46.04
2016-06-27,National,13.79,24.62,21.58,35.25,30.42,0.47,52.79
2016-06-28,National,11.14,21.55,28.0,42.14,27.18,0.42,45.86
2016-06-29,National,16.62,34.0,33.81,41.1,32.38,0.48,56.14
2016-06-30,National,19.65,38.48,36.7,43.87,33.43,0.45,59.65
2016-07-01,National,24.1,42.6,44.7,41.35,25.65,0.44,64.5
2016-07-02,National,22.42,41.54,36.5,29.0,31.08,0.5,62.62
2016-07-03,National,18.83,38.08,37.62,25.21,36.25,0.47,58.54
2016-07-04,National,15.17,31.88,38.0,30.33,39.96,0.45,54.67
2016-07-05,National,16.0,29.39,26.74,24.78,36.91,0.39,55.61
2016-07-06,National,13.04,25.33,31.0,28.29,35.38,0.44,52.08
2016-07-07,National,15.91,28.52,25.87,32.0,40.43,0.55,55.39
2016-07-08,National,14.75,24.71,19.71,38.12,49.92,0.45,54.04
2016-07-09,National,21.0,33.25,23.12,28.67,34.5,0.56,61.12
2016-07-10,National,17.04,25.5,25.75,28.17,26.62,0.43,56.75
2016-07-11,National,24.33,35.79,18.33,37.62,21.38,0.69,64.79
2016-07-12,National,15.38,25.29,23.67,37.67,28.17,0.54,54.71
2016-07-13,National,13.71,24.62,21.88,46.54,27.17,0.57,52.88
2016-07-14,National,17.92,32.38,28.0,42.08,35.77,0.82,57.77
2016-07-15,National,18.62,35.38,26.12,42.25,29.5,0.68,58.38
2016-07-16,National,16.21,30.46,37.33,50.5,42.42,0.76,55.79
2016-07-17,National,16.5,28.62,47.96,44.33,34.04,0.56,55.92
2016-07-18,National,19.04,34.3,28.7,62.78,35.65,0.86,58.87
2016-07-19,National,16.87,28.65,39.91,36.74,36.87,0.55,55.87
2016-07-20,National,12.12,23.0,30.62,50.33,36.12,0.7,49.0
2016-07-21,National,16.92,30.17,32.54,51.33,42.75,0.66,56.33
2016-07-22,National,21.43,37.33,14.57,62.81,39.1,0.73,61.71
2016-07-23,National,16.92,27.92,26.92,46.62,33.29,0.59,56.5
2016-07-24,National,12.54,23.54,21.46,38.58,25.17,0.65,50.0
2016-07-25,National,12.52,22.52,18.52,48.43,28.0,0.82,49.67
2016-07-26,National,18.09,32.74,16.13,45.22,32.39,3.48,73.57
2016-07-27,National,21.92,34.79,27.29,46.96,28.79,0.65,62.25
2016-07-28,National,21.0,35.55,32.95,48.95,27.95,0.64,61.05
2016-07-29,National,19.35,33.25,30.25,46.5,31.15,0.75,59.15
2016-07-30,National,15.19,29.06,17.69,35.25,26.0,0.68,54.69
2016-07-31,National,18.89,37.58,26.84,36.84,36.84,0.83,58.84
2016-08-01,National,19.33,35.46,28.54,56.29,38.0,0.7,59.25
2016-08-02,National,16.58,27.38,34.38,40.33,50.62,0.52,55.96
2016-08-03,National,16.46,30.42,30.67,39.71,28.17,0.54,56.0
2016-08-04,National,16.14,27.9,35.24,35.14,29.0,0.56,55.48
2016-08-05,National,15.91,27.61,42.26,37.3,34.83,0.62,55.17
2016-08-06,National,17.46,33.42,35.71,45.75,39.5,0.65,56.96
2016-08-07,National,20.48,38.35,34.61,30.52,22.7,0.62,60.48
2016-08-08,National,22.87,38.17,39.87,41.78,23.96,0.57,63.17
2016-08-09,National,26.62,45.46,40.75,44.08,34.79,0.85,67.46
2016-08-10,National,19.87,31.52,33.48,33.78,32.35,0.5,59.74
2016-08-11,National,15.67,27.56,24.56,45.5,29.61,0.61,55.06
2016-08-12,National,18.58,32.38,25.71,38.62,30.0,0.57,58.42
2016-08-13,National,20.92,34.67,32.33,50.79,36.71,0.59,60.92
2016-08-14,National,22.08,37.04,36.5,40.0,40.58,0.56,62.42
2016-08-15,National,17.71,30.96,35.29,35.71,37.21,0.47,57.38
2016-08-16,National,10.79,21.21,29.75,29.42,40.38,0.43,44.96
2016-08-17,National,14.17,26.0,23.88,37.83,38.08,0.47,53.29
2016-08-18,National,22.09,42.35,20.52,26.7,36.43,0.69,62.43
2016-08-19,National,12.62,27.29,24.42,29.62,43.58,0.42,50.17
2016-08-20,National,12.9,25.25,25.9,30.35,34.25,0.45,51.75
2016-08-21,National,13.17,25.08,25.38,33.0,29.08,0.55,52.21
2016-08-22,National,11.46,22.38,22.96,36.12,25.88,0.53,47.21
2016-08-23,National,23.42,38.0,27.75,57.17,35.88,0.78,63.79
2016-08-24,National,25.32,38.18,20.05,37.32,31.05,0.63,65.86
2016-08-25,National,11.5,20.71,28.75,41.29,22.29,0.42,46.67
2016-08-26,National,39.91,54.83,47.74,49.35,28.48,1.23,81.96
2016-08-27,National,86.75,114.75,47.62,52.33,24.62,1.22,133.38
2016-08-28,National,53.65,75.26,28.09,53.26,28.48,0.84,98.26
2016-08-29,National,55.21,74.17,35.62,44.21,24.04,0.88,99.96
2016-08-30,National,19.87,33.35,22.65,45.17,30.0,0.57,59.83
2016-08-31,National,22.38,34.92,18.96,44.71,32.58,0.77,62.75
2016-09-01,National,24.83,39.58,14.21,52.46,21.58,0.75,65.38
2016-09-02,National,19.67,31.08,26.0,43.62,28.08,0.65,59.62
2016-09-03,National,23.33,36.0,26.54,48.79,32.79,0.75,63.71
2016-09-04,National,30.0,47.75,40.92,57.62,30.33,0.65,71.21
2016-09-05,National,35.08,54.88,34.12,66.96,37.38,0.59,77.0
2016-09-06,National,22.5,35.0,34.38,50.25,39.75,0.55,62.75
2016-09-07,National,15.29,26.38,32.46,31.96,27.33,0.43,54.62
2016-09-08,National,16.14,25.67,27.76,34.24,25.67,0.53,55.62
2016-09-09,National,19.42,32.71,28.29,34.75,27.33,0.67,59.25
2016-09-10,National,19.46,34.38,18.5,39.58,15.71,0.64,59.33
2016-09-11,National,16.24,28.33,31.14,35.0,32.67,0.56,55.52
2016-09-12,National,15.12,27.21,29.04,47.96,38.42,0.65,54.54
2016-09-13,National,19.62,33.43,27.48,40.38,31.43,0.82,59.52
2016-09-14,National,14.04,27.42,19.79,39.25,31.38,0.61,52.62
2016-09-15,National,16.75,31.33,25.54,34.54,29.62,0.67,56.25
2016-09-16,National,17.54,30.33,27.58,41.38,34.79,0.57,57.17
2016-09-17,National,13.75,27.0,31.88,35.96,45.46,0.8,53.0
2016-09-18,National,21.62,36.67,40.62,48.46,36.08,0.52,61.71
2016-09-19,National,17.83,30.88,33.88,40.71,59.71,0.47,57.54
2016-09-20,National,12.08,24.5,30.92,29.92,41.42,0.52,49.71
2016-09-21,National,11.65,25.22,27.04,33.61,26.7,0.6,48.09
2016-09-22,National,21.82,36.73,30.95,44.36,25.86,0.83,62.0
2016-09-23,National,19.83,35.75,40.25,48.25,36.29,0.55,59.67
2016-09-24,National,19.44,36.06,34.44,51.39,54.94,0.65,59.39
2016-09-25,National,20.0,34.2,61.47,44.33,54.33,0.49,60.07
2016-09-26,National,20.83,35.33,51.12,53.17,45.08,0.53,61.0
2016-09-27,National,29.25,48.4,55.15,73.7,39.25,0.59,70.35
2016-09-28,National,33.08,48.38,51.33,40.92,38.83,0.54,74.83
2016-09-29,National,19.75,32.44,48.06,45.19,15.12,0.46,59.69
2016-09-30,National,22.62,38.06,34.62,58.69,14.62,0.62,63.0
2016-10-01,National,23.46,41.5,35.5,51.58,27.67,0.63,63.92
2016-10-02,National,18.96,36.21,53.42,42.88,36.21,0.58,58.79
2016-10-03,National,23.58,40.89,35.53,49.16,51.63,0.58,63.89
2016-10-04,National,23.44,40.33,42.83,50.61,34.72,0.61,63.94
2016-10-05,National,31.62,50.38,42.06,63.88,41.56,0.85,73.0
2016-10-06,National,39.89,51.16,27.47,50.05,43.89,0.77,82.37
2016-10-07,National,31.27,44.23,12.32,39.5,36.09,0.74,72.59
2016-10-08,National,17.12,28.46,24.46,34.79,35.46,0.52,56.67
2016-10-09,National,18.33,33.71,29.96,42.08,61.25,0.6,58.0
2016-10-10,National,20.04,31.96,44.29,36.25,33.62,0.84,59.88
2016-10-11,National,16.75,30.58,42.75,26.83,22.5,0.74,56.21
2016-10-12,National,11.67,25.71,46.21,22.12,11.67,0.46,48.12
2016-10-13,National,11.92,24.92,34.0,27.25,17.54,0.59,49.29
2016-10-14,National,12.96,28.08,33.04,32.5,32.88,0.43,51.21
2016-10-15,National,15.92,30.54,31.21,32.0,45.62,0.46,55.17
2016-10-16,National,14.79,29.62,39.21,28.58,47.96,0.54,54.0
2016-10-17,National,10.79,22.08,31.17,30.33,39.96,0.54,44.75
2016-10-18,National,13.33,24.17,29.75,34.17,29.5,0.55,50.83
2016-10-19,National,14.58,25.21,23.58,43.83,24.75,0.62,53.75
2016-10-20,National,18.38,32.54,39.5,46.12,42.88,0.82,57.92
2016-10-21,National,25.0,37.0,46.04,52.12,31.46,0.61,65.54
2016-10-22,National,32.1,48.25,33.45,45.45,31.25,0.74,73.5
2016-10-23,National,21.67,34.79,57.12,41.67,15.58,0.69,61.75
2016-10-24,National,28.04,45.54,39.62,52.0,22.96,0.7,69.04
2016-10-25,National,24.12,38.58,40.5,55.62,26.38,0.75,64.54
2016-10-26,National,16.62,29.88,30.21,52.88,27.0,0.47,56.29
2016-10-27,National,14.71,28.71,27.04,47.71,29.75,0.54,53.83
2016-10-28,National,17.96,31.96,28.58,59.33,15.12,0.83,57.62
2016-10-29,National,30.61,48.3,26.91,45.83,24.78,0.86,71.83
2016-10-30,National,18.42,27.0,33.08,35.75,33.71,0.52,58.17
2016-10-31,National,17.12,27.88,26.5,42.5,24.5,0.69,56.79
2016-11-01,National,15.58,26.79,35.88,47.83,28.96,0.6,54.96
2016-11-02,National,15.58,27.21,34.75,46.92,16.33,0.75,54.92
2016-11-03,National,13.04,25.46,35.0,30.92,16.62,0.82,51.29
2016-11-04,National,10.88,21.71,32.17,38.12,20.29,0.58,44.33
2016-11-05,National,15.25,26.42,30.46,37.62,36.38,0.66,54.46
2016-11-06,National,9.75,23.75,36.17,28.04,50.5,0.52,40.29
2016-11-07,National,13.68,28.95,27.05,42.68,17.59,0.7,49.95
2016-11-08,National,20.17,34.58,30.54,40.83,36.42,0.93,60.12
2016-11-09,National,24.0,41.38,48.17,48.62,38.08,0.78,64.5
2016-11-10,National,21.54,34.83,39.38,46.54,29.33,0.9,61.58
2016-11-11,National,20.83,35.71,18.12,44.79,20.25,1.33,61.0
2016-11-12,National,16.58,30.54,34.04,42.29,9.33,1.13,56.25
2016-11-13,National,15.54,28.88,35.29,36.62,13.38,0.77,54.92
2016-11-14,National,11.71,25.92,18.67,37.71,16.25,0.67,48.71
2016-11-15,National,12.04,32.83,28.62,29.21,6.96,0.7,50.12
