date,overall_aqi,dominant_pollutant
21/04/2018,34.26,pm10
22/04/2018,33.33,pm10
23/04/2018,30.56,pm10
24/04/2018,28.7,pm10
25/04/2018,27.78,pm10
26/04/2018,23.15,pm10
27/04/2018,25.93,pm10
28/04/2018,25,pm10
29/04/2018,26.85,pm10
30/04/2018,25,pm10
01/05/2018,22.22,pm10
02/05/2018,29.63,pm10
03/05/2018,28.7,pm10
04/05/2018,26.85,pm10
05/05/2018,24.07,pm10
06/05/2018,5.66,no2
07/05/2018,25,pm10
08/05/2018,25.93,pm10
09/05/2018,29.63,pm10
10/05/2018,28.7,pm10
11/05/2018,26.85,pm10
12/05/2018,24.07,pm10
13/05/2018,23.15,pm10
14/05/2018,19.44,pm10
15/05/2018,19.44,pm10
16/05/2018,20.37,pm10
17/05/2018,18.52,pm10
18/05/2018,23.15,pm10
19/05/2018,23.15,pm10
20/05/2018,22.22,pm10
21/05/2018,19.44,pm10
22/05/2018,20.37,pm10
23/05/2018,19.44,pm10
24/05/2018,19.44,pm10
25/05/2018,22.22,pm10
26/05/2018,19.44,pm10
27/05/2018,23.15,pm10
28/05/2018,20.37,pm10
29/05/2018,19.44,pm10
30/05/2018,17.59,pm10
31/05/2018,22.22,pm10
01/06/2018,27.78,pm10
02/06/2018,25.93,pm10
