date,overall_aqi
2015-02-02,56.0
2015-02-03,66.0
2015-02-04,66.0
2015-02-05,56.0
2015-02-06,66.0
2015-02-07,76.0
2015-02-08,76.0
2015-02-09,76.0
2015-02-10,109.45
2015-02-11,56.0
2015-02-12,53.47
2015-02-13,52.48
2015-02-14,56.0
2015-02-15,51.0
2015-02-16,55.95
2015-02-17,54.96
2015-02-18,66.0
2015-02-19,51.99
2015-02-20,50.0
2015-02-21,66.0
2015-02-22,51.99
2015-02-23,76.0
2015-02-24,66.0
2015-02-25,66.0
2015-02-26,56.94
2015-02-27,96.0
2015-02-28,126.34
2015-03-01,109.45
2015-03-02,159.45
2015-03-03,76.0
2015-03-04,66.0
2015-03-05,76.0
2015-03-06,96.0
2015-03-07,96.0
2015-03-08,176.34
2015-03-09,204.32
2015-03-10,143.24
2015-03-11,126.34
2015-03-12,86.0
2015-03-13,66.84
2015-03-15,224.26
2015-03-16,204.32
2015-03-17,126.34
2015-03-18,126.34
2015-03-19,143.24
2015-03-20,126.34
2015-03-21,81.19
2015-03-22,67.33
2015-03-23,56.0
2015-03-24,96.0
2015-03-25,96.0
2015-03-26,76.0
2015-03-27,86.0
2015-03-28,76.0
2015-03-29,76.0
2015-03-30,76.0
2015-03-31,56.0
2015-04-01,96.0
2015-04-02,86.0
2015-04-03,96.0
2015-04-04,86.0
2015-04-05,109.45
2015-04-06,86.0
2015-04-07,76.0
2015-04-08,66.0
2015-04-09,56.0
2015-04-10,47.22
2015-04-11,50.0
2015-04-12,45.45
2015-04-13,76.0
2015-04-14,143.24
2015-04-15,159.45
2015-04-16,143.24
2015-04-17,159.45
2015-04-18,143.24
2015-04-19,143.24
2015-04-20,109.45
2015-04-21,96.0
2015-04-22,96.0
2015-04-23,86.0
2015-04-24,96.0
2015-04-25,96.0
2015-04-26,86.0
2015-04-27,86.0
2015-04-28,76.0
2015-04-29,96.0
2015-04-30,96.0
2015-05-01,109.45
2015-05-02,126.34
2015-05-03,86.0
2015-05-04,86.0
2015-05-05,86.0
2015-05-06,86.0
2015-05-07,66.0
2015-05-08,56.0
2015-05-09,66.0
2015-05-10,86.0
2015-05-11,86.0
2015-05-12,96.0
2015-05-13,126.34
2015-05-14,76.0
2015-05-15,76.0
2015-05-16,76.0
2015-05-17,66.0
2015-05-18,56.0
2015-05-19,76.0
2015-05-20,86.0
2015-05-21,76.0
2015-05-22,76.0
2015-05-23,66.0
2015-05-24,66.0
