Date,AQI
07/04/2017,29
08/04/2017,29
09/04/2017,27
10/04/2017,31
11/04/2017,38
12/04/2017,43
13/04/2017,40
14/04/2017,43
07/07/2017,25
08/07/2017,23
09/07/2017,21
10/07/2017,23
11/07/2017,20
12/07/2017,15
13/07/2017,24
14/07/2017,19
15/07/2017,16
16/07/2017,26
17/07/2017,32
18/07/2017,33
27/08/2017,15
28/08/2017,20
29/08/2017,19
30/08/2017,19
31/08/2017,28
01/09/2017,28
02/09/2017,18
03/09/2017,19
04/09/2017,11
05/09/2017,17
06/09/2017,21
11/09/2017,17
12/09/2017,22
13/09/2017,32
14/09/2017,23
15/09/2017,14
16/09/2017,8
06/10/2017,31
07/10/2017,23
08/10/2017,12
09/10/2017,10
10/10/2017,11
11/10/2017,13
12/10/2017,13
13/10/2017,15
14/10/2017,19
15/10/2017,18
16/10/2017,22
17/10/2017,32
18/10/2017,45
19/10/2017,43
20/10/2017,28
21/10/2017,25
22/10/2017,22
23/10/2017,21
24/10/2017,18
25/10/2017,18
26/10/2017,19
27/10/2017,21
28/10/2017,17
29/10/2017,16
12/12/2017,22
13/12/2017,23
14/12/2017,20
15/12/2017,24
16/12/2017,22
17/12/2017,25
18/12/2017,27
19/12/2017,22
20/12/2017,34
21/12/2017,36
22/12/2017,23
23/12/2017,32
24/12/2017,21
25/12/2017,13
26/12/2017,11
27/12/2017,12
28/12/2017,17
29/12/2017,23
30/12/2017,16
01/01/2018,15
02/01/2018,15
03/01/2018,15
04/01/2018,15
05/01/2018,11
06/01/2018,18
07/01/2018,26
08/01/2018,23
09/01/2018,16
10/01/2018,12
11/01/2018,10
12/01/2018,10
13/01/2018,12
14/01/2018,17
15/01/2018,21
16/01/2018,27
17/01/2018,27
18/01/2018,26
19/01/2018,21
20/01/2018,14
21/01/2018,18
22/01/2018,16
23/01/2018,16
24/01/2018,15
25/01/2018,13
26/01/2018,17
27/01/2018,19
28/01/2018,19
29/01/2018,18
30/01/2018,16
31/01/2018,18
01/02/2018,19
02/02/2018,19
03/02/2018,19
04/02/2018,19
05/02/2018,21
06/02/2018,22
07/02/2018,38
08/02/2018,45
09/02/2018,45
10/02/2018,40
11/02/2018,38
12/02/2018,37
13/02/2018,31
14/02/2018,21
15/02/2018,27
16/02/2018,30
17/02/2018,28
18/02/2018,28
19/02/2018,26
20/02/2018,26
21/02/2018,32
22/02/2018,27
23/02/2018,27
24/02/2018,17
25/02/2018,19
26/02/2018,20
27/02/2018,27
28/02/2018,29
01/03/2018,26
02/03/2018,29
03/03/2018,32
04/03/2018,27
05/03/2018,27
06/03/2018,23
07/03/2018,25
08/03/2018,13
09/03/2018,19
10/03/2018,20
11/03/2018,17
12/03/2018,19
13/03/2018,19
14/03/2018,31
15/03/2018,32
16/03/2018,27
17/03/2018,34
18/03/2018,35
19/03/2018,31
20/03/2018,27
21/03/2018,21
22/03/2018,21
23/03/2018,30
24/03/2018,21
25/03/2018,27
26/03/2018,28
27/03/2018,15
28/03/2018,22
29/03/2018,29
30/03/2018,27
31/03/2018,18
01/04/2018,17
02/04/2018,17
03/04/2018,22
04/04/2018,39
05/04/2018,42
06/04/2018,36
07/04/2018,32
08/04/2018,36
09/04/2018,54
10/04/2018,36
11/04/2018,28
12/04/2018,28
13/04/2018,35
14/04/2018,27
15/04/2018,22
16/04/2018,17
17/04/2018,20
18/04/2018,20
19/04/2018,22
20/04/2018,18
21/04/2018,18
22/04/2018,23
23/04/2018,19
24/04/2018,20
25/04/2018,19
26/04/2018,14
27/04/2018,14
28/04/2018,21
29/04/2018,26
30/04/2018,23
01/05/2018,31
02/05/2018,28
03/05/2018,24
04/05/2018,20
05/05/2018,21
06/05/2018,22
07/05/2018,24
08/05/2018,26
09/05/2018,25
10/05/2018,22
11/05/2018,18
12/05/2018,22
13/05/2018,20
14/05/2018,24
15/05/2018,24
16/05/2018,26
17/05/2018,27
18/05/2018,17
19/05/2018,18
20/05/2018,14
21/05/2018,19
22/05/2018,18
23/05/2018,13
24/05/2018,20
25/05/2018,21
26/05/2018,22
27/05/2018,12
28/05/2018,15
29/05/2018,25
30/05/2018,21
31/05/2018,21
01/06/2018,18
02/06/2018,18
03/06/2018,19
04/06/2018,22
05/06/2018,34
06/06/2018,34
07/06/2018,26
08/06/2018,29
09/06/2018,34
10/06/2018,30
11/06/2018,31
12/06/2018,35
13/06/2018,34
14/06/2018,26
15/06/2018,19
16/06/2018,16
17/06/2018,19
18/06/2018,19
19/06/2018,13
20/06/2018,16
21/06/2018,23
22/06/2018,18
23/06/2018,12
24/06/2018,9
25/06/2018,13
26/06/2018,13
27/06/2018,15
28/06/2018,19
29/06/2018,19
30/06/2018,15
01/07/2018,16
02/07/2018,13
03/07/2018,14
04/07/2018,22
05/07/2018,25
06/07/2018,23
07/07/2018,25
08/07/2018,27
09/07/2018,22
10/07/2018,23
11/07/2018,19
12/07/2018,27
13/07/2018,30
14/07/2018,32
15/07/2018,23
16/07/2018,20
17/07/2018,28
18/07/2018,35
19/07/2018,37
20/07/2018,20
21/07/2018,18
22/07/2018,27
23/07/2018,26
24/07/2018,25
25/07/2018,23
26/07/2018,23
27/07/2018,28
28/07/2018,30
29/07/2018,23
30/07/2018,19
31/07/2018,11
01/08/2018,17
02/08/2018,20
03/08/2018,23
04/08/2018,35
05/08/2018,45
06/08/2018,30
07/08/2018,29
08/08/2018,30
09/08/2018,39
10/08/2018,39
11/08/2018,34
12/08/2018,31
13/08/2018,44
14/08/2018,64
15/08/2018,63
16/08/2018,66
17/08/2018,76
18/08/2018,83
19/08/2018,81
20/08/2018,72
21/08/2018,71
22/08/2018,68
23/08/2018,45
24/08/2018,46
25/08/2018,52
26/08/2018,64
27/08/2018,78
28/08/2018,69
29/08/2018,59
30/08/2018,55
31/08/2018,59
01/09/2018,58
02/09/2018,59
03/09/2018,55
04/09/2018,53
05/09/2018,56
06/09/2018,59
07/09/2018,56
08/09/2018,51
09/09/2018,54
10/09/2018,51
11/09/2018,51
12/09/2018,56
13/09/2018,56
14/09/2018,54
15/09/2018,53
16/09/2018,45
17/09/2018,60
18/09/2018,62
19/09/2018,51
20/09/2018,58
21/09/2018,54
22/09/2018,52
23/09/2018,55
24/09/2018,60
25/09/2018,68
26/09/2018,62
27/09/2018,62
28/09/2018,65
29/09/2018,66
30/09/2018,73
01/10/2018,71
02/10/2018,62
03/10/2018,55
04/10/2018,59
05/10/2018,66
06/10/2018,66
07/10/2018,63
08/10/2018,52
09/10/2018,48
10/10/2018,50
11/10/2018,47
12/10/2018,32
13/10/2018,29
14/10/2018,27
15/10/2018,34
16/10/2018,49
17/10/2018,41
18/10/2018,34
19/10/2018,33
20/10/2018,40
21/10/2018,52
22/10/2018,52
23/10/2018,59
24/10/2018,44
25/10/2018,39
26/10/2018,49
27/10/2018,44
28/10/2018,54
29/10/2018,51
30/10/2018,47
31/10/2018,52
01/11/2018,55
02/11/2018,53
03/11/2018,52
04/11/2018,53
05/11/2018,42
06/11/2018,46
07/11/2018,53
08/11/2018,49
09/11/2018,43
10/11/2018,53
11/11/2018,55
12/11/2018,45
13/11/2018,51
14/11/2018,57
15/11/2018,49
16/11/2018,53
17/11/2018,57
18/11/2018,61
19/11/2018,52
20/11/2018,50
21/11/2018,37
22/11/2018,40
23/11/2018,50
24/11/2018,51
25/11/2018,51
26/11/2018,63
27/11/2018,58
28/11/2018,55
29/11/2018,50
30/11/2018,37
01/12/2018,39
02/12/2018,32
03/12/2018,35
04/12/2018,35
05/12/2018,36
06/12/2018,40
07/12/2018,29
08/12/2018,39
09/12/2018,52
10/12/2018,33
11/12/2018,35
12/12/2018,39
13/12/2018,51
14/12/2018,50
15/12/2018,32
16/12/2018,48
17/12/2018,44
18/12/2018,52
19/12/2018,54
20/12/2018,54
21/12/2018,54
22/12/2018,53
23/12/2018,53
24/12/2018,53
25/12/2018,54
26/12/2018,51
27/12/2018,41
28/12/2018,52
29/12/2018,49
30/12/2018,48
01/01/2019,15
02/01/2019,15
03/01/2019,15
04/01/2019,15
05/01/2019,11
06/01/2019,18
07/01/2019,26
08/01/2019,23
09/01/2019,16
10/01/2019,12
11/01/2019,10
12/01/2019,10
13/01/2019,12
14/01/2019,17
15/01/2019,21
16/01/2019,27
17/01/2019,27
18/01/2019,26
19/01/2019,21
20/01/2019,14
21/01/2019,18
22/01/2019,16
23/01/2019,16
24/01/2019,15
25/01/2019,13
26/01/2019,17
27/01/2019,19
28/01/2019,19
29/01/2019,18
30/01/2019,16
31/01/2019,18
01/02/2019,19
02/02/2019,19
03/02/2019,19
04/02/2019,19
05/02/2019,21
06/02/2019,22
07/02/2019,38
08/02/2019,45
09/02/2019,45
10/02/2019,40
11/02/2019,38
12/02/2019,37
13/02/2019,31
14/02/2019,21
15/02/2019,27
16/02/2019,30
17/02/2019,28
18/02/2019,28
19/02/2019,26
20/02/2019,26
21/02/2019,32
22/02/2019,27
23/02/2019,27
24/02/2019,17
25/02/2019,19
26/02/2019,20
27/02/2019,27
28/02/2019,29
01/03/2019,26
02/03/2019,29
03/03/2019,32
04/03/2019,27
05/03/2019,27
06/03/2019,23
07/03/2019,25
08/03/2019,13
09/03/2019,19
10/03/2019,20
11/03/2019,17
12/03/2019,19
13/03/2019,19
14/03/2019,31
15/03/2019,32
16/03/2019,27
17/03/2019,34
18/03/2019,35
19/03/2019,31
20/03/2019,27
21/03/2019,21
22/03/2019,21
23/03/2019,30
24/03/2019,21
25/03/2019,27
26/03/2019,28
27/03/2019,15
28/03/2019,22
29/03/2019,29
30/03/2019,27
31/03/2019,18
01/04/2019,17
02/04/2019,17
03/04/2019,22
04/04/2019,39
05/04/2019,42
06/04/2019,36
07/04/2019,32
08/04/2019,36
09/04/2019,54
10/04/2019,36
11/04/2019,28
12/04/2019,28
13/04/2019,35
14/04/2019,27
15/04/2019,22
16/04/2019,17
17/04/2019,20
18/04/2019,20
19/04/2019,22
20/04/2019,18
21/04/2019,18
22/04/2019,23
23/04/2019,19
24/04/2019,20
25/04/2019,19
26/04/2019,14
27/04/2019,14
28/04/2019,21
29/04/2019,26
30/04/2019,23
01/05/2019,31
02/05/2019,28
03/05/2019,24
04/05/2019,20
05/05/2019,21
06/05/2019,22
07/05/2019,24
08/05/2019,26
09/05/2019,25
10/05/2019,22
11/05/2019,18
12/05/2019,22
13/05/2019,20
14/05/2019,24
15/05/2019,24
16/05/2019,26
17/05/2019,27
18/05/2019,17
19/05/2019,18
20/05/2019,14
21/05/2019,19
22/05/2019,18
23/05/2019,13
24/05/2019,20
25/05/2019,21
26/05/2019,22
27/05/2019,12
28/05/2019,15
29/05/2019,25
30/05/2019,21
31/05/2019,21
01/06/2019,18
02/06/2019,18
03/06/2019,19
04/06/2019,22
05/06/2019,34
06/06/2019,34
07/06/2019,26
08/06/2019,29
09/06/2019,34
10/06/2019,30
11/06/2019,31
12/06/2019,35
13/06/2019,34
14/06/2019,26
15/06/2019,19
16/06/2019,16
17/06/2019,19
18/06/2019,19
19/06/2019,13
20/06/2019,16
21/06/2019,23
22/06/2019,18
23/06/2019,12
24/06/2019,9
25/06/2019,13
26/06/2019,13
27/06/2019,
28/06/2019,26
29/06/2019,67
30/06/2019,62
01/07/2019,63
02/07/2019,63
03/07/2019,61
04/07/2019,68
05/07/2019,67
06/07/2019,64
07/07/2019,60
08/07/2019,56
09/07/2019,51
10/07/2019,56
11/07/2019,56
12/07/2019,58
13/07/2019,59
14/07/2019,60
15/07/2019,57
16/07/2019,57
17/07/2019,58
18/07/2019,64
19/07/2019,63
20/07/2019,61
21/07/2019,65
22/07/2019,63
23/07/2019,58
24/07/2019,56
25/07/2019,53
26/07/2019,58
27/07/2019,65
28/07/2019,66
29/07/2019,70
30/07/2019,64
31/07/2019,62
01/08/2019,66
02/08/2019,61
03/08/2019,72
04/08/2019,73
05/08/2019,72
06/08/2019,69
07/08/2019,77
08/08/2019,77
09/08/2019,88
10/08/2019,82
11/08/2019,71
12/08/2019,70
13/08/2019,66
14/08/2019,68
15/08/2019,72
16/08/2019,59
17/08/2019,75
18/08/2019,80
19/08/2019,65
20/08/2019,77
21/08/2019,80
22/08/2019,59
23/08/2019,71
24/08/2019,66
