Date,AQI
29/05/2015,46
30/05/2015,50
31/05/2015,44
01/06/2015,32
02/06/2015,32
03/06/2015,28
04/06/2015,36
05/06/2015,34
06/06/2015,32
07/06/2015,31
08/06/2015,33
09/06/2015,29
10/06/2015,27
11/06/2015,27
12/06/2015,30
13/06/2015,28
14/06/2015,25
15/06/2015,22
16/06/2015,27
21/06/2015,52
22/06/2015,59
23/06/2015,58
24/06/2015,67
25/06/2015,74
26/06/2015,78
27/06/2015,71
28/06/2015,68
29/06/2015,61
30/06/2015,61
01/07/2015,53
02/07/2015,44
03/07/2015,46
04/07/2015,36
05/07/2015,35
06/07/2015,42
07/07/2015,42
08/07/2015,31
09/07/2015,39
10/07/2015,43
11/07/2015,38
12/07/2015,39
13/07/2015,38
14/07/2015,35
15/07/2015,31
16/07/2015,43
17/07/2015,68
18/07/2015,58
19/07/2015,48
20/07/2015,41
21/07/2015,47
22/07/2015,43
23/07/2015,49
24/07/2015,53
25/07/2015,42
26/07/2015,35
27/07/2015,41
28/07/2015,57
29/07/2015,66
30/07/2015,52
31/07/2015,49
01/08/2015,52
02/08/2015,51
03/08/2015,41
04/08/2015,24
05/08/2015,28
06/08/2015,25
07/08/2015,31
08/08/2015,33
09/08/2015,32
10/08/2015,34
11/08/2015,38
12/08/2015,31
13/08/2015,34
14/08/2015,37
15/08/2015,39
16/08/2015,52
17/08/2015,49
18/08/2015,53
20/08/2015,47
21/08/2015,37
22/08/2015,39
23/08/2015,44
24/08/2015,44
25/08/2015,49
26/08/2015,66
27/08/2015,70
28/08/2015,66
29/08/2015,61
30/08/2015,66
31/08/2015,56
01/09/2015,64
02/09/2015,87
03/09/2015,116
04/09/2015,82
05/09/2015,59
06/09/2015,52
07/09/2015,54
08/09/2015,60
09/09/2015,38
10/09/2015,31
11/09/2015,41
12/09/2015,44
13/09/2015,64
14/09/2015,71
15/09/2015,77
16/09/2015,38
17/09/2015,28
18/09/2015,60
19/09/2015,75
20/09/2015,75
21/09/2015,56
22/09/2015,47
23/09/2015,38
24/09/2015,30
25/09/2015,24
26/09/2015,26
27/09/2015,28
28/09/2015,22
29/09/2015,32
30/09/2015,41
01/10/2015,61
02/10/2015,52
03/10/2015,78
04/10/2015,147
05/10/2015,143
06/10/2015,101
07/10/2015,74
08/10/2015,72
09/10/2015,62
10/10/2015,49
11/10/2015,56
12/10/2015,57
13/10/2015,52
14/10/2015,43
15/10/2015,38
16/10/2015,47
17/10/2015,44
18/10/2015,52
19/10/2015,60
20/10/2015,94
21/10/2015,140
22/10/2015,218
23/10/2015,164
24/10/2015,106
25/10/2015,74
26/10/2015,47
27/10/2015,35
28/10/2015,41
29/10/2015,37
30/10/2015,36
31/10/2015,37
01/11/2015,39
02/11/2015,38
03/11/2015,37
04/11/2015,36
05/11/2015,38
06/11/2015,37
07/11/2015,30
08/11/2015,35
09/11/2015,41
10/11/2015,40
11/11/2015,36
12/11/2015,39
13/11/2015,37
14/11/2015,38
15/11/2015,37
16/11/2015,42
17/11/2015,43
18/11/2015,37
19/11/2015,36
20/11/2015,38
21/11/2015,32
22/11/2015,32
23/11/2015,26
24/11/2015,27
25/11/2015,32
26/11/2015,38
27/11/2015,34
28/11/2015,30
29/11/2015,30
30/11/2015,28
01/12/2015,27
02/12/2015,31
03/12/2015,34
04/12/2015,31
05/12/2015,32
06/12/2015,32
07/12/2015,34
08/12/2015,39
09/12/2015,43
10/12/2015,39
11/12/2015,37
12/12/2015,39
13/12/2015,41
14/12/2015,41
15/12/2015,42
16/12/2015,50
17/12/2015,51
18/12/2015,41
19/12/2015,47
20/12/2015,55
21/12/2015,54
22/12/2015,51
23/12/2015,43
24/12/2015,44
25/12/2015,53
26/12/2015,33
27/12/2015,33
28/12/2015,36
29/12/2015,37
30/12/2015,39
04/01/2016,44
05/01/2016,35
06/01/2016,34
07/01/2016,36
08/01/2016,37
09/01/2016,42
10/01/2016,46
11/01/2016,43
12/01/2016,44
13/01/2016,47
14/01/2016,42
15/01/2016,33
16/01/2016,28
17/01/2016,28
18/01/2016,34
19/01/2016,40
20/01/2016,36
21/01/2016,41
22/01/2016,38
23/01/2016,37
24/01/2016,38
25/01/2016,40
26/01/2016,35
27/01/2016,27
28/01/2016,30
29/01/2016,33
30/01/2016,36
31/01/2016,38
01/02/2016,39
02/02/2016,41
03/02/2016,40
04/02/2016,37
05/02/2016,35
06/02/2016,36
07/02/2016,46
08/02/2016,53
09/02/2016,53
10/02/2016,51
11/02/2016,44
12/02/2016,40
13/02/2016,43
14/02/2016,35
15/02/2016,43
16/02/2016,45
17/02/2016,49
18/02/2016,50
19/02/2016,42
20/02/2016,48
21/02/2016,58
22/02/2016,54
23/02/2016,48
24/02/2016,54
25/02/2016,51
26/02/2016,49
27/02/2016,41
28/02/2016,39
29/02/2016,47
01/03/2016,51
02/03/2016,56
03/03/2016,54
04/03/2016,54
05/03/2016,49
06/03/2016,52
07/03/2016,53
08/03/2016,46
09/03/2016,50
10/03/2016,53
11/03/2016,59
12/03/2016,56
13/03/2016,51
14/03/2016,47
15/03/2016,47
16/03/2016,52
17/03/2016,52
18/03/2016,56
19/03/2016,57
20/03/2016,56
21/03/2016,53
22/03/2016,51
23/03/2016,57
24/03/2016,59
25/03/2016,56
26/03/2016,49
27/03/2016,48
28/03/2016,62
29/03/2016,56
30/03/2016,60
31/03/2016,61
01/04/2016,53
02/04/2016,50
03/04/2016,48
04/04/2016,50
05/04/2016,50
06/04/2016,53
07/04/2016,52
08/04/2016,54
09/04/2016,54
10/04/2016,56
11/04/2016,53
12/04/2016,50
13/04/2016,51
14/04/2016,52
15/04/2016,54
16/04/2016,55
17/04/2016,54
18/04/2016,53
19/04/2016,50
20/04/2016,49
21/04/2016,48
22/04/2016,51
23/04/2016,51
24/04/2016,52
25/04/2016,53
26/04/2016,50
27/04/2016,39
28/04/2016,38
29/04/2016,40
30/04/2016,38
01/05/2016,44
02/05/2016,54
03/05/2016,52
04/05/2016,50
05/05/2016,45
06/05/2016,37
07/05/2016,39
08/05/2016,32
09/05/2016,30
10/05/2016,31
11/05/2016,40
12/05/2016,44
13/05/2016,34
14/05/2016,34
15/05/2016,34
16/05/2016,32
17/05/2016,34
18/05/2016,41
19/05/2016,29
20/05/2016,29
21/05/2016,27
22/05/2016,23
23/05/2016,35
24/05/2016,39
25/05/2016,41
26/05/2016,36
27/05/2016,36
28/05/2016,40
29/05/2016,30
30/05/2016,23
31/05/2016,26
01/06/2016,30
02/06/2016,40
03/06/2016,31
04/06/2016,33
05/06/2016,45
06/06/2016,53
07/06/2016,47
08/06/2016,43
09/06/2016,40
10/06/2016,44
11/06/2016,38
12/06/2016,35
13/06/2016,32
14/06/2016,26
15/06/2016,24
16/06/2016,27
17/06/2016,24
18/06/2016,21
19/06/2016,36
20/06/2016,31
21/06/2016,29
22/06/2016,34
23/06/2016,45
24/06/2016,51
25/06/2016,53
26/06/2016,53
27/06/2016,59
28/06/2016,61
29/06/2016,61
30/06/2016,60
01/07/2016,54
02/07/2016,70
03/07/2016,84
04/07/2016,81
05/07/2016,71
07/07/2016,42
08/07/2016,35
09/07/2016,45
10/07/2016,53
11/07/2016,50
12/07/2016,50
13/07/2016,54
14/07/2016,46
15/07/2016,41
16/07/2016,42
17/07/2016,33
18/07/2016,32
19/07/2016,27
20/07/2016,12
21/07/2016,28
22/07/2016,34
23/07/2016,32
24/07/2016,30
25/07/2016,37
26/07/2016,35
27/07/2016,42
28/07/2016,43
29/07/2016,45
30/07/2016,48
31/07/2016,45
01/08/2016,41
02/08/2016,41
03/08/2016,47
04/08/2016,50
05/08/2016,58
06/08/2016,58
07/08/2016,58
08/08/2016,60
09/08/2016,49
10/08/2016,42
11/08/2016,43
12/08/2016,31
13/08/2016,32
14/08/2016,33
15/08/2016,43
16/08/2016,42
17/08/2016,46
18/08/2016,45
19/08/2016,45
20/08/2016,47
21/08/2016,54
22/08/2016,56
23/08/2016,56
24/08/2016,51
25/08/2016,27
26/08/2016,30
27/08/2016,37
28/08/2016,46
29/08/2016,37
