Date,AQI
14/11/2019,52
15/11/2019,49
16/11/2019,47
17/11/2019,57
18/11/2019,46
19/11/2019,30
20/11/2019,42
21/11/2019,40
22/11/2019,19
23/11/2019,15
24/11/2019,16
25/11/2019,20
26/11/2019,20
27/11/2019,23
28/11/2019,29
29/11/2019,24
30/11/2019,25
01/12/2019,19
02/12/2019,20
03/12/2019,29
04/12/2019,26
05/12/2019,20
06/12/2019,27
07/12/2019,17
08/12/2019,19
09/12/2019,18
10/12/2019,16
11/12/2019,25
12/12/2019,21
13/12/2019,20
14/12/2019,32
15/12/2019,24
16/12/2019,24
17/12/2019,30
18/12/2019,29
19/12/2019,29
20/12/2019,29
21/12/2019,29
22/12/2019,29
23/12/2019,29
24/12/2019,29
25/12/2019,29
26/12/2019,29
27/12/2019,29
28/12/2019,29
29/12/2019,29
01/01/2020,29
02/01/2020,29
03/01/2020,29
04/01/2020,29
05/01/2020,29
06/01/2020,29
07/01/2020,29
08/01/2020,29
09/01/2020,29
10/01/2020,29
11/01/2020,29
12/01/2020,29
13/01/2020,29
14/01/2020,29
15/01/2020,29
16/01/2020,29
17/01/2020,29
18/01/2020,22
26/01/2020,38
27/01/2020,40
28/01/2020,29
29/01/2020,39
30/01/2020,26
31/01/2020,45
01/02/2020,43
02/02/2020,53
03/02/2020,52
04/02/2020,53
05/02/2020,52
06/02/2020,53
07/02/2020,53
08/02/2020,50
09/02/2020,39
10/02/2020,22
11/02/2020,38
12/02/2020,43
13/02/2020,53
14/02/2020,52
15/02/2020,44
16/02/2020,52
17/02/2020,49
18/02/2020,48
19/02/2020,49
20/02/2020,48
21/02/2020,51
22/02/2020,47
23/02/2020,49
24/02/2020,52
25/02/2020,48
26/02/2020,52
27/02/2020,47
28/02/2020,50
29/02/2020,54
01/03/2020,54
02/03/2020,53
04/03/2020,47
05/03/2020,41
06/03/2020,39
07/03/2020,39
08/03/2020,42
09/03/2020,53
10/03/2020,46
11/03/2020,38
12/03/2020,46
13/03/2020,53
14/03/2020,53
15/03/2020,47
16/03/2020,52
17/03/2020,52
18/03/2020,56
19/03/2020,56
20/03/2020,54
21/03/2020,51
22/03/2020,52
23/03/2020,51
24/03/2020,51
25/03/2020,52
26/03/2020,52
27/03/2020,48
28/03/2020,40
29/03/2020,34
01/04/2020,25
02/04/2020,40
03/04/2020,53
04/04/2020,54
05/04/2020,52
06/04/2020,50
07/04/2020,42
08/04/2020,33
09/04/2020,28
10/04/2020,45
11/04/2020,45
12/04/2020,32
13/04/2020,27
14/04/2020,28
15/04/2020,48
16/04/2020,50
17/04/2020,54
18/04/2020,53
19/04/2020,38
20/04/2020,44
21/04/2020,26
22/04/2020,35
23/04/2020,37
24/04/2020,41
25/04/2020,29
26/04/2020,29
27/04/2020,27
28/04/2020,26
29/04/2020,33
30/04/2020,25
01/05/2020,40
