date,temperature_2m,relative_humidity_2m,wind_speed_10m
2022-09-04,27.033585,83.54801,5.158693
2022-09-05,26.341917,87.66312,5.859037
2022-09-06,27.035667,84.61849,5.988266
2022-09-07,25.575249,89.63093,6.325153
2022-09-08,27.05025,82.480576,6.466558
2022-09-09,25.55025,89.09183,5.549913
2022-09-10,26.289833,87.42019,7.7363763
2022-09-11,25.73775,89.001366,5.8012004
2022-09-12,26.408583,84.685555,5.9341884
2022-09-13,26.621084,83.330864,10.998859
2022-09-14,26.121084,82.94343,10.905349
2022-09-15,26.337751,86.52479,5.662458
2022-09-16,27.048166,83.30585,8.469119
2022-09-17,26.066917,87.666145,7.591366
2022-09-18,25.273165,89.12811,9.339332
2022-09-19,26.629417,83.34867,8.249479
2022-09-20,26.319,85.594185,5.642965
2022-09-21,26.796083,85.022285,8.671647
2022-09-22,25.2065,87.43218,10.46992
2022-09-23,26.783583,84.58082,6.8126163
2022-09-24,26.360666,84.93427,8.757239
2022-09-25,26.06275,86.29132,8.770225
2022-09-26,26.41275,85.568085,9.141222
2022-09-27,26.744001,86.88754,6.41197
2022-09-28,26.798166,82.556694,7.7155967
2022-09-29,26.41275,88.26493,4.8787656
2022-09-30,26.566917,87.45568,5.4076295
2022-10-01,25.921083,89.35139,4.294101
2022-10-02,25.60025,88.98612,3.8309128
2022-10-03,25.902334,89.514305,4.3206344
2022-10-04,25.966917,88.55471,6.279579
2022-10-05,25.104416,90.03064,6.3294296
2022-10-06,25.871084,89.4278,4.8971095
2022-10-07,24.779417,91.59774,5.612946
2022-10-08,25.439833,87.34363,8.39357
2022-10-09,25.8815,85.302605,5.5465374
2022-10-10,25.448166,84.90876,7.348299
2022-10-11,26.277334,83.91181,5.6514125
2022-10-12,25.410667,84.7446,9.804759
2022-10-13,26.56275,86.676414,8.954695
2022-10-14,26.927332,84.56582,12.41582
2022-10-15,26.598167,85.67383,10.955321
2022-10-16,26.5315,85.839905,7.9090023
2022-10-17,26.462751,88.41436,6.047209
2022-10-18,27.260666,84.70044,6.5285873
2022-10-19,26.81275,86.95905,6.228108
2022-10-20,27.610666,83.28545,5.5312657
2022-10-21,26.400251,89.085594,5.6237035
2022-10-22,25.721083,89.6636,7.9082637
2022-10-23,25.841917,88.17988,8.510108
2022-10-24,25.783583,89.638855,7.072903
2022-10-25,25.0315,91.97647,6.2138004
2022-10-26,25.304419,90.76999,8.9979105
2022-10-27,26.296083,84.85997,10.337292
2022-10-28,26.102333,87.803215,8.142991
2022-10-29,26.277334,87.73774,7.202057
2022-10-30,26.185667,88.27895,7.01592
2022-10-31,26.127333,88.27305,8.507506
2022-11-01,25.896082,91.356346,5.0855994
2022-11-02,25.829416,88.43515,5.014565
2022-11-03,26.108583,87.535194,6.4551544
2022-11-04,26.669,85.13398,5.7583814
2022-11-05,25.57525,89.599464,6.9712315
2022-11-06,25.708582,89.132744,4.2177186
2022-11-07,25.414833,90.9296,5.304744
2022-11-08,24.91275,91.88272,6.698153
2022-11-09,25.039833,91.442116,7.8110275
2022-11-10,24.85025,91.25226,5.7539754
2022-11-11,24.814833,91.9527,4.8172064
2022-11-12,25.05025,91.61923,5.9782257
2022-11-13,25.935667,89.81095,4.5295596
2022-11-14,26.144,88.54714,5.4044247
2022-11-15,26.337751,86.029686,8.352359
2022-11-16,26.231499,88.864716,8.084733
2022-11-17,26.671083,83.97048,10.021859
2022-11-18,26.221083,86.83622,10.367269
2022-11-19,25.564835,88.18884,11.48557
2022-11-20,26.808584,85.43271,12.204121
2022-11-21,27.239832,84.10784,11.053895
2022-11-22,27.104416,83.8359,11.893455
2022-11-23,26.333582,86.81007,9.172312
2022-11-24,27.116919,82.9582,8.487418
2022-11-25,26.200249,86.82382,7.4813695
2022-11-26,26.560667,87.883606,5.3853326
2022-11-27,25.746084,89.196495,5.5044117
2022-11-28,25.864832,86.456635,4.950064
2022-11-29,25.910667,87.208916,5.6990924
2022-11-30,25.702333,87.45344,6.6923623
2022-12-01,25.606499,88.74606,9.142378
2022-12-02,25.433584,89.67142,8.317502
2022-12-03,26.289833,85.91379,8.972017
2022-12-04,25.785667,90.499886,5.28177
2022-12-05,25.396082,90.406975,5.1392484
2022-12-06,25.664833,88.98562,5.9622235
2022-12-07,25.60025,88.59888,7.5052743
2022-12-08,25.385666,90.07626,8.412138
2022-12-09,25.252333,90.2439,8.084757
2022-12-10,25.471083,90.06985,5.298449
2022-12-11,24.523165,92.51926,5.117257
2022-12-12,25.410667,89.39794,5.8874564
2022-12-13,25.262749,88.1753,11.434163
2022-12-14,24.91275,90.855286,8.182075
2022-12-15,24.43775,93.78839,7.8909907
2022-12-16,25.72525,88.314125,7.4962864
2022-12-17,25.194,90.133415,7.3013816
2022-12-18,25.341917,90.37621,8.985292
2022-12-19,24.556501,90.40267,8.753213
2022-12-20,25.2565,90.242256,7.7948437
2022-12-21,25.529417,88.258156,10.29252
2022-12-22,24.710665,89.53382,11.018851
2022-12-23,24.704416,89.699554,9.87445
2022-12-24,25.366915,78.45269,13.952922
2022-12-25,25.610666,81.9985,13.181321
2022-12-26,25.494001,81.233574,12.789791
2022-12-27,25.658585,82.677536,10.843025
2022-12-28,25.423166,83.255745,10.094186
2022-12-29,25.079416,84.79352,10.510874
2022-12-30,25.716917,80.3001,13.127521
2022-12-31,25.900251,79.7716,13.099816
