Date,AQI
12/07/2016,48
13/07/2016,54
14/07/2016,58
15/07/2016,57
16/07/2016,60
17/07/2016,52
18/07/2016,32
19/07/2016,38
20/07/2016,40
21/07/2016,49
22/07/2016,39
23/07/2016,41
24/07/2016,35
25/07/2016,28
26/07/2016,47
27/07/2016,55
28/07/2016,59
29/07/2016,53
30/07/2016,54
31/07/2016,57
01/08/2016,59
02/08/2016,55
03/08/2016,53
04/08/2016,51
05/08/2016,54
06/08/2016,54
07/08/2016,53
08/08/2016,54
09/08/2016,58
10/08/2016,64
11/08/2016,68
12/08/2016,54
13/08/2016,53
14/08/2016,48
15/08/2016,54
16/08/2016,64
17/08/2016,66
18/08/2016,55
19/08/2016,60
20/08/2016,64
21/08/2016,58
22/08/2016,62
23/08/2016,61
24/08/2016,49
25/08/2016,56
26/08/2016,64
27/08/2016,62
28/08/2016,77
29/08/2016,82
30/08/2016,104
31/08/2016,57
01/09/2016,61
02/09/2016,60
03/09/2016,63
04/09/2016,60
05/09/2016,58
06/09/2016,52
07/09/2016,42
08/09/2016,50
09/09/2016,54
10/09/2016,53
11/09/2016,57
12/09/2016,56
13/09/2016,46
14/09/2016,54
15/09/2016,54
16/09/2016,57
17/09/2016,61
18/09/2016,48
19/09/2016,32
20/09/2016,44
21/09/2016,41
22/09/2016,53
23/09/2016,51
24/09/2016,62
25/09/2016,70
26/09/2016,81
27/09/2016,72
28/09/2016,56
29/09/2016,51
30/09/2016,55
01/10/2016,58
02/10/2016,56
03/10/2016,54
06/10/2016,51
07/10/2016,53
08/10/2016,42
09/10/2016,53
10/10/2016,50
11/10/2016,46
12/10/2016,43
13/10/2016,38
14/10/2016,43
15/10/2016,51
16/10/2016,46
17/10/2016,51
18/10/2016,57
19/10/2016,53
20/10/2016,52
21/10/2016,50
22/10/2016,52
23/10/2016,55
24/10/2016,44
25/10/2016,48
26/10/2016,53
27/10/2016,61
28/10/2016,47
29/10/2016,43
30/10/2016,33
31/10/2016,27
01/11/2016,31
02/11/2016,63
03/11/2016,54
04/11/2016,57
05/11/2016,44
06/11/2016,56
07/11/2016,43
08/11/2016,59
09/11/2016,57
10/11/2016,66
11/11/2016,51
12/11/2016,48
13/11/2016,51
14/11/2016,54
15/11/2016,52
16/11/2016,47
17/11/2016,51
18/11/2016,53
19/11/2016,54
20/11/2016,58
21/11/2016,47
22/11/2016,56
23/11/2016,59
24/11/2016,51
25/11/2016,56
26/11/2016,44
27/11/2016,46
28/11/2016,29
29/11/2016,44
30/11/2016,48
01/12/2016,58
02/12/2016,46
03/12/2016,36
04/12/2016,44
05/12/2016,54
06/12/2016,57
07/12/2016,55
08/12/2016,60
09/12/2016,70
10/12/2016,63
11/12/2016,53
12/12/2016,47
13/12/2016,56
14/12/2016,64
15/12/2016,68
16/12/2016,76
17/12/2016,75
18/12/2016,70
19/12/2016,58
20/12/2016,49
21/12/2016,44
22/12/2016,54
23/12/2016,62
24/12/2016,48
25/12/2016,55
26/12/2016,45
27/12/2016,53
28/12/2016,48
29/12/2016,53
30/12/2016,63
31/12/2016,62
01/01/2017,47
02/01/2017,37
03/01/2017,47
04/01/2017,40
05/01/2017,42
06/01/2017,51
07/01/2017,49
08/01/2017,44
09/01/2017,60
10/01/2017,63
11/01/2017,62
12/01/2017,62
13/01/2017,68
14/01/2017,62
15/01/2017,50
16/01/2017,42
17/01/2017,54
18/01/2017,56
19/01/2017,52
20/01/2017,53
21/01/2017,44
22/01/2017,31
23/01/2017,41
24/01/2017,36
25/01/2017,36
26/01/2017,39
27/01/2017,42
28/01/2017,40
29/01/2017,45
30/01/2017,51
31/01/2017,41
01/02/2017,39
02/02/2017,30
06/02/2017,59
07/02/2017,61
08/02/2017,60
09/02/2017,58
10/02/2017,62
11/02/2017,55
12/02/2017,50
13/02/2017,47
14/02/2017,44
15/02/2017,44
16/02/2017,38
17/02/2017,49
18/02/2017,48
19/02/2017,40
20/02/2017,44
21/02/2017,54
22/02/2017,56
23/02/2017,53
24/02/2017,51
25/02/2017,43
26/02/2017,44
27/02/2017,38
28/02/2017,40
01/03/2017,47
02/03/2017,41
03/03/2017,40
04/03/2017,45
05/03/2017,52
06/03/2017,55
07/03/2017,55
08/03/2017,58
09/03/2017,51
10/03/2017,54
11/03/2017,59
12/03/2017,62
13/03/2017,64
14/03/2017,62
15/03/2017,72
16/03/2017,79
17/03/2017,86
18/03/2017,81
19/03/2017,52
20/03/2017,50
21/03/2017,53
22/03/2017,60
23/03/2017,57
24/03/2017,63
25/03/2017,72
26/03/2017,57
27/03/2017,54
28/03/2017,42
29/03/2017,49
30/03/2017,53
31/03/2017,49
01/04/2017,72
02/04/2017,50
03/04/2017,40
04/04/2017,42
05/04/2017,41
06/04/2017,41
07/04/2017,59
08/04/2017,67
09/04/2017,62
10/04/2017,59
11/04/2017,56
12/04/2017,68
13/04/2017,77
14/04/2017,62
07/07/2017,59
08/07/2017,35
09/07/2017,25
10/07/2017,12
11/07/2017,17
13/07/2017,24
14/07/2017,24
15/07/2017,23
16/07/2017,32
17/07/2017,28
18/07/2017,34
27/08/2017,21
28/08/2017,25
29/08/2017,27
30/08/2017,28
31/08/2017,37
01/09/2017,34
02/09/2017,28
03/09/2017,32
04/09/2017,26
05/09/2017,34
06/09/2017,39
11/09/2017,25
12/09/2017,34
13/09/2017,42
14/09/2017,48
15/09/2017,27
16/09/2017,20
05/10/2017,36
06/10/2017,37
07/10/2017,47
08/10/2017,39
09/10/2017,32
10/10/2017,25
11/10/2017,36
12/10/2017,39
13/10/2017,34
14/10/2017,43
15/10/2017,46
16/10/2017,43
17/10/2017,48
18/10/2017,47
19/10/2017,58
20/10/2017,54
21/10/2017,57
22/10/2017,35
23/10/2017,33
24/10/2017,41
25/10/2017,46
26/10/2017,38
28/10/2017,46
29/10/2017,34
12/12/2017,43
13/12/2017,48
14/12/2017,39
15/12/2017,48
16/12/2017,37
17/12/2017,29
18/12/2017,24
19/12/2017,27
20/12/2017,23
21/12/2017,30
22/12/2017,31
23/12/2017,41
24/12/2017,29
25/12/2017,19
26/12/2017,19
27/12/2017,24
28/12/2017,25
29/12/2017,22
30/12/2017,16
01/01/2018,14
02/01/2018,13
03/01/2018,15
04/01/2018,15
05/01/2018,16
06/01/2018,21
07/01/2018,29
08/01/2018,26
09/01/2018,27
10/01/2018,24
11/01/2018,20
12/01/2018,21
13/01/2018,27
14/01/2018,18
15/01/2018,23
16/01/2018,32
17/01/2018,31
18/01/2018,27
