City,Date,AQI,Tempa,Precipitation,Windspeed,AtmoPressure
Seremban,11/12/2023,56,26.6,20.5,3.3,1008.9
Seremban,12/12/2023,45,25.3,12.4,2.8,1009.4
Seremban,13/12/2023,50,26.2,20.7,4.2,1009.6
Seremban,14/12/2023,44,26.1,14.8,4,1010.4
Seremban,15/12/2023,35,26.5,24.5,4.4,1009.8
Seremban,16/12/2023,36,27.3,9.8,3.2,1009.7
Seremban,17/12/2023,35,28.6,17.6,9,1009.5
Seremban,18/12/2023,34,27.9,19.6,5.1,1010.1
Seremban,19/12/2023,37,25.8,9.5,3.6,1010.9
Seremban,20/12/2023,43,26.9,9.8,4,1010.1
Seremban,21/12/2023,44,26.9,12.6,2.7,1010.1
Seremban,22/12/2023,51,26.5,10,3,1010.6
Seremban,23/12/2023,49,26.9,9.5,4.6,1010.4
Seremban,24/12/2023,31,27,34.9,3.8,1011.1
Seremban,25/12/2023,22,28.3,2.1,10.6,1011.6
Seremban,26/12/2023,25,26.5,7,4.5,1012.4
Seremban,27/12/2023,35,27.1,4.8,4.4,1012.6
Seremban,28/12/2023,34,27.2,9.2,3,1011.1
Seremban,29/12/2023,30,26.7,11.4,6,1010.3
Seremban,30/12/2023,29,25.9,12.4,3,1010.2
Seremban,31/12/2023,47,26.5,23.6,4.1,1010.5
Seremban,01/01/2024,52,27.3,2.8,3.2,1010.2
Seremban,02/01/2024,52,27.3,0.5,3.7,1009.8
Seremban,03/01/2024,42,27.5,2.8,5.6,1009.9
Seremban,04/01/2024,46,26.6,29.4,2.8,1010.3
Seremban,05/01/2024,36,27.5,1.1,5.5,1010.1
Seremban,06/01/2024,36,26.7,20.6,3.4,1010.7
Seremban,07/01/2024,41,25.4,12.7,3.5,1011.5
Seremban,08/01/2024,35,26.6,9.6,2.9,1010.5
Seremban,09/01/2024,53,26.1,33.2,4.1,1010.2
Seremban,10/01/2024,50,27.2,7.9,2.7,1009.7
Seremban,11/01/2024,53,27.5,0,4.7,1009.9
Seremban,12/01/2024,50,28.4,4.1,3.6,1010.1
Seremban,13/01/2024,53,27.5,0,4.2,1009.9
Seremban,14/01/2024,73,28.1,0,4.5,1010.2
Seremban,15/01/2024,57,27.2,18.9,4.1,1009.9
Seremban,16/01/2024,28,26.5,12.3,5.6,1010
Seremban,17/01/2024,29,27.4,10.2,6,1009.4
Seremban,18/01/2024,37,26.8,18.3,4.3,1009.9
Seremban,19/01/2024,33,26.8,18.8,2.8,1009.9
Seremban,20/01/2024,51,26.4,0.3,3.1,1010.8
