time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,city
2015-02-12,25.6,23.2,30.0,,,,8.8,,,,Miri
2015-02-13,25.6,22.0,29.0,,,,7.5,,,,Miri
2015-02-14,25.3,22.9,28.1,,,,7.0,,,,Miri
2015-02-15,26.3,24.0,30.0,,,,7.7,,,,Miri
2015-02-16,26.0,24.8,29.0,,,,6.7,,,,Miri
2015-02-17,26.4,24.0,30.0,,,,6.4,,,,Miri
2015-02-18,27.1,24.0,31.1,,,,13.0,,,,Miri
2015-02-19,26.2,23.0,31.0,,,,7.6,,,,Miri
2015-02-20,26.1,22.8,30.0,,,,6.5,,,,Miri
2015-02-21,26.5,24.0,29.2,,,,5.2,,,,Miri
2015-02-22,26.8,24.0,31.1,,,,7.6,,,,Miri
2015-02-23,26.5,23.0,30.0,,,,7.2,,,,Miri
2015-02-24,26.4,23.0,30.0,,,,7.3,,,,Miri
2015-02-25,26.2,23.0,29.0,,,,6.7,,,,Miri
2015-02-26,26.8,24.0,30.0,,,,5.5,,,,Miri
2015-02-27,26.8,24.5,30.0,,,,7.7,,,,Miri
2015-02-28,27.1,24.4,31.0,,,,8.4,,,,Miri
2015-03-01,26.6,24.0,30.4,,,,8.4,,,,Miri
2015-03-02,27.1,23.3,32.0,,,,11.2,,,,Miri
2015-03-03,25.6,22.0,29.0,,,,6.2,,,,Miri
2015-03-04,26.1,23.7,28.0,,,,5.4,,,,Miri
2015-03-05,25.8,23.6,29.7,,,,7.2,,,,Miri
2015-03-06,26.3,22.0,31.0,,,,8.7,,,,Miri
2015-03-07,27.2,24.0,32.0,,,,7.6,,,,Miri
2015-03-08,27.2,24.0,31.0,,,,7.5,,,,Miri
2015-03-09,27.4,24.0,31.2,,,,9.5,,,,Miri
2015-03-10,27.6,25.0,32.0,,,,9.9,,,,Miri
2015-03-11,27.1,24.9,31.6,,,,12.5,,,,Miri
2015-03-12,25.6,22.8,29.5,0.0,,,8.1,,,,Miri
2015-03-13,25.9,23.1,29.1,0.0,,,4.9,,,,Miri
2015-03-14,27.1,23.5,30.4,0.0,,,7.4,,,,Miri
2015-03-15,27.2,25.0,30.3,0.0,,,6.2,,,,Miri
2015-03-16,26.0,24.0,30.9,0.0,,,7.2,,,,Miri
2015-03-17,26.1,22.0,30.1,,,,7.5,,,,Miri
2015-03-18,26.3,23.0,30.0,,,,8.1,,,,Miri
2015-03-19,26.7,22.0,32.0,,,,8.6,,,,Miri
2015-03-20,26.8,23.0,32.0,,,,7.7,,,,Miri
2015-03-21,26.9,23.0,31.0,,,,8.1,,,,Miri
2015-03-22,27.2,24.0,32.0,,,,9.1,,,,Miri
2015-03-23,27.0,24.0,31.0,,,,9.1,,,,Miri
2015-03-24,27.3,24.0,33.0,,,,10.0,,,,Miri
2015-03-25,27.1,25.0,31.2,,,,7.8,,,,Miri
2015-03-26,27.9,25.0,32.0,,,,8.0,,,,Miri
2015-03-27,27.7,25.0,31.0,,,,8.4,,,,Miri
2015-03-28,27.1,24.0,31.0,,,,9.3,,,,Miri
2015-03-29,27.6,24.0,31.0,,,,8.1,,,,Miri
2015-03-30,27.6,25.0,31.0,,,,7.5,,,,Miri
2015-03-31,27.7,25.0,31.0,,,,7.4,,,,Miri
2015-04-01,28.0,25.0,31.0,,,,9.0,,,,Miri
2015-04-02,27.2,,,,,,5.4,,,,Miri
2015-04-03,27.6,,,,,,7.3,,,,Miri
2015-04-04,27.4,25.0,31.0,,,,5.3,,,,Miri
2015-04-05,27.9,25.0,33.0,,,,9.0,,,,Miri
2015-04-06,28.0,25.0,31.0,,,,8.6,,,,Miri
2015-04-07,27.8,25.0,32.0,,,,8.8,,,,Miri
2015-04-08,27.8,,,,,,8.4,,,,Miri
2015-04-09,27.5,25.0,31.0,,,,6.6,,,,Miri
2015-04-10,27.7,25.0,31.0,,,,6.9,,,,Miri
2015-04-11,27.9,25.0,32.0,,,,8.5,,,,Miri
2015-04-12,27.4,24.0,32.0,,,,7.6,,,,Miri
2015-04-13,27.6,24.0,32.0,,,,8.0,,,,Miri
2015-04-14,28.0,24.0,33.0,,,,9.1,,,,Miri
2015-04-15,28.0,26.0,31.0,,,,6.6,,,,Miri
2015-04-16,28.4,24.1,32.3,4.1,,,7.5,,,,Miri
2015-04-17,28.5,25.0,35.0,0.0,,,8.1,,,,Miri
2015-04-18,28.3,22.4,32.7,45.2,,,7.2,,,,Miri
2015-04-19,27.7,25.0,30.6,,,,6.9,,,,Miri
2015-04-20,28.6,25.0,33.0,,,,9.9,,,,Miri
2015-04-21,27.7,24.9,31.1,9.9,,,5.5,,,,Miri
2015-04-22,28.4,25.1,32.2,0.0,,,8.1,,,,Miri
2015-04-23,27.9,25.5,31.4,5.1,,,6.6,,,,Miri
2015-04-24,28.3,24.8,32.3,0.0,,,7.0,,,,Miri
2015-04-25,27.4,24.6,30.7,3.3,,,6.3,,,,Miri
2015-04-26,28.1,25.0,31.7,3.3,,,8.3,,,,Miri
2015-04-27,28.6,24.0,32.7,0.0,,,9.0,,,,Miri
2015-04-28,27.4,23.0,30.0,,,,10.1,,,,Miri
2015-04-29,28.5,24.3,32.3,0.0,,,6.1,,,,Miri
2015-04-30,27.6,26.0,31.9,0.0,,,6.4,,,,Miri
2015-05-01,25.3,24.0,29.6,18.5,,,8.0,,,,Miri
2015-05-02,27.4,24.0,31.0,,,,5.6,,,,Miri
2015-05-03,26.7,24.0,30.6,5.1,,,6.5,,,,Miri
2015-05-04,26.7,,31.5,8.6,,,7.8,,,,Miri
2015-05-05,27.8,24.0,31.8,0.3,,,7.3,,,,Miri
2015-05-06,28.2,24.0,32.0,,,,7.1,,,,Miri
2015-05-07,28.4,25.0,32.0,,,,6.9,,,,Miri
2015-05-08,28.7,25.0,32.7,,,,7.6,,,,Miri
2015-05-09,28.3,25.6,32.3,0.0,,,5.8,,,,Miri
2015-05-10,28.9,24.0,32.8,0.0,,,6.4,,,,Miri
2015-05-11,29.1,25.7,32.9,,,,7.6,,,,Miri
2015-05-12,28.9,25.0,33.0,,,,7.6,,,,Miri
2015-05-13,27.7,25.7,31.4,0.0,,,6.7,,,,Miri
2015-05-14,27.4,25.0,32.0,,,,5.9,,,,Miri
2015-05-15,27.9,24.1,32.4,2.0,,,6.1,,,,Miri
2015-05-16,28.1,24.9,32.3,6.6,,,6.2,,,,Miri
2015-05-17,28.5,24.8,32.0,0.0,,,5.5,,,,Miri
2015-05-18,28.1,25.7,31.5,,,,8.2,,,,Miri
2015-05-19,28.9,25.0,33.1,12.7,,,7.6,,,,Miri
2015-05-20,29.2,25.0,32.0,,,,6.9,,,,Miri
2015-05-21,29.5,25.2,33.4,0.0,,,7.6,,,,Miri
2015-05-22,28.8,25.8,33.0,,,,6.4,,,,Miri
2015-05-23,28.1,25.0,31.7,0.3,,,6.4,,,,Miri
2015-05-24,26.6,24.9,30.3,6.1,,,11.1,,,,Miri
2015-05-25,27.8,24.0,32.0,,,,8.0,,,,Miri
2015-05-26,26.6,24.9,30.9,0.0,,,7.1,,,,Miri
2015-05-27,26.1,24.0,31.6,,,,6.5,,,,Miri
2015-05-28,28.1,22.9,32.7,10.9,,,7.8,,,,Miri
2015-05-29,28.6,24.0,33.0,,,,7.0,,,,Miri
2015-05-30,28.6,25.9,33.3,0.0,,,8.1,,,,Miri
2015-05-31,28.8,25.0,33.7,0.8,,,7.9,,,,Miri
2015-06-01,28.1,24.6,32.1,0.0,,,6.1,,,,Miri
2015-06-02,27.3,25.1,30.2,,,,7.3,,,,Miri
2015-06-03,28.0,24.5,31.6,0.0,,,6.6,,,,Miri
2015-06-04,28.9,23.5,33.3,0.0,,,8.0,,,,Miri
2015-06-05,28.7,26.0,32.0,,,,5.4,,,,Miri
2015-06-06,27.7,25.4,31.6,0.0,,,6.1,,,,Miri
2015-06-07,28.2,24.5,31.5,0.0,,,6.0,,,,Miri
2015-06-08,27.9,25.0,30.7,3.0,,,8.6,,,,Miri
2015-06-09,26.7,24.9,30.1,1.3,,,7.5,,,,Miri
2015-06-10,27.3,23.0,31.9,7.1,,,6.9,,,,Miri
2015-06-11,28.0,23.0,32.0,,,,8.2,,,,Miri
2015-06-12,26.6,24.5,29.5,6.9,,,5.6,,,,Miri
2015-06-13,26.4,24.0,29.4,26.9,,,6.7,,,,Miri
2015-06-14,25.7,24.0,28.0,1.5,,,6.1,,,,Miri
