Country,Region,Date,Temperature,reading_type,station_name
Singapore,West,2017-08-22,26.48,DBT 1M F,Singapore_National
Singapore,Central,2017-08-23,27.13,DBT 1M F,Singapore_National
Singapore,East,2017-08-24,27.04,DBT 1M F,Singapore_National
Singapore,North,2017-08-25,26.94,DBT 1M F,Singapore_National
Singapore,North-East,2017-08-26,26.6,DBT 1M F,Singapore_National
Singapore,West,2017-08-27,26.75,DBT 1M F,Singapore_National
Singapore,Central,2017-08-28,26.63,DBT 1M F,Singapore_National
Singapore,East,2017-08-29,26.25,DBT 1M F,Singapore_National
Singapore,North,2017-08-30,26.5,DBT 1M F,Singapore_National
Singapore,North-East,2017-08-31,27.09,DBT 1M F,Singapore_National
Singapore,West,2017-09-01,26.29,DBT 1M F,Singapore_National
Singapore,Central,2017-09-02,27.49,DBT 1M F,Singapore_National
Singapore,East,2017-09-03,27.0,DBT 1M F,Singapore_National
Singapore,North,2017-09-04,26.81,DBT 1M F,Singapore_National
Singapore,North-East,2017-09-05,26.4,DBT 1M F,Singapore_National
Singapore,West,2017-09-06,26.26,DBT 1M F,Singapore_National
Singapore,Central,2017-09-07,26.63,DBT 1M F,Singapore_National
Singapore,East,2017-09-08,26.59,DBT 1M F,Singapore_National
Singapore,North,2017-09-09,26.91,DBT 1M F,Singapore_National
Singapore,North-East,2017-09-10,26.78,DBT 1M F,Singapore_National
Singapore,West,2017-09-11,25.91,DBT 1M F,Singapore_National
Singapore,Central,2017-09-12,27.34,DBT 1M F,Singapore_National
Singapore,East,2017-09-13,27.6,DBT 1M F,Singapore_National
Singapore,North,2017-09-14,26.59,DBT 1M F,Singapore_National
Singapore,North-East,2017-09-15,26.4,DBT 1M F,Singapore_National
Singapore,West,2017-09-16,26.94,DBT 1M F,Singapore_National
Singapore,Central,2017-09-17,26.46,DBT 1M F,Singapore_National
Singapore,East,2017-09-18,26.59,DBT 1M F,Singapore_National
Singapore,North,2017-09-19,25.88,DBT 1M F,Singapore_National
Singapore,North-East,2017-09-20,26.5,DBT 1M F,Singapore_National
Singapore,West,2017-09-21,26.52,DBT 1M F,Singapore_National
Singapore,Central,2017-09-22,27.17,DBT 1M F,Singapore_National
Singapore,East,2017-09-23,27.1,DBT 1M F,Singapore_National
Singapore,North,2017-09-24,27.51,DBT 1M F,Singapore_National
Singapore,North-East,2017-09-25,27.01,DBT 1M F,Singapore_National
Singapore,West,2017-09-26,26.56,DBT 1M F,Singapore_National
Singapore,Central,2017-09-27,26.84,DBT 1M F,Singapore_National
Singapore,East,2017-09-28,26.56,DBT 1M F,Singapore_National
Singapore,North,2017-09-29,26.61,DBT 1M F,Singapore_National
Singapore,North-East,2017-09-30,26.86,DBT 1M F,Singapore_National
Singapore,West,2017-10-01,26.17,DBT 1M F,Singapore_National
Singapore,Central,2017-10-02,26.86,DBT 1M F,Singapore_National
Singapore,East,2017-10-03,26.37,DBT 1M F,Singapore_National
Singapore,North,2017-10-04,25.58,DBT 1M F,Singapore_National
Singapore,North-East,2017-10-05,26.21,DBT 1M F,Singapore_National
Singapore,West,2017-10-06,26.81,DBT 1M F,Singapore_National
Singapore,Central,2017-10-07,26.64,DBT 1M F,Singapore_National
Singapore,East,2017-10-08,26.36,DBT 1M F,Singapore_National
Singapore,North,2017-10-09,26.26,DBT 1M F,Singapore_National
Singapore,North-East,2017-10-10,26.75,DBT 1M F,Singapore_National
Singapore,West,2017-10-11,27.14,DBT 1M F,Singapore_National
Singapore,Central,2017-10-12,26.44,DBT 1M F,Singapore_National
Singapore,East,2017-10-13,26.14,DBT 1M F,Singapore_National
Singapore,North,2017-10-14,27.26,DBT 1M F,Singapore_National
Singapore,North-East,2017-10-15,27.32,DBT 1M F,Singapore_National
Singapore,West,2017-10-16,27.34,DBT 1M F,Singapore_National
Singapore,Central,2017-10-17,27.76,DBT 1M F,Singapore_National
Singapore,East,2017-10-18,27.9,DBT 1M F,Singapore_National
Singapore,North,2017-10-19,28.23,DBT 1M F,Singapore_National
Singapore,North-East,2017-10-20,28.33,DBT 1M F,Singapore_National
Singapore,West,2017-10-21,27.34,DBT 1M F,Singapore_National
Singapore,Central,2017-10-22,26.5,DBT 1M F,Singapore_National
Singapore,East,2017-10-23,26.8,DBT 1M F,Singapore_National
Singapore,North,2017-10-24,26.69,DBT 1M F,Singapore_National
Singapore,North-East,2017-10-25,26.88,DBT 1M F,Singapore_National
Singapore,West,2017-10-26,26.32,DBT 1M F,Singapore_National
Singapore,Central,2017-10-27,26.1,DBT 1M F,Singapore_National
Singapore,East,2017-10-28,26.88,DBT 1M F,Singapore_National
Singapore,North,2017-10-29,25.9,DBT 1M F,Singapore_National
Singapore,North-East,2017-10-30,25.58,DBT 1M F,Singapore_National
Singapore,West,2017-10-31,25.26,DBT 1M F,Singapore_National
Singapore,Central,2017-11-01,26.44,DBT 1M F,Singapore_National
Singapore,East,2017-11-02,26.91,DBT 1M F,Singapore_National
Singapore,North,2017-11-03,26.46,DBT 1M F,Singapore_National
Singapore,North-East,2017-11-04,26.67,DBT 1M F,Singapore_National
Singapore,West,2017-11-05,26.7,DBT 1M F,Singapore_National
Singapore,Central,2017-11-06,26.36,DBT 1M F,Singapore_National
Singapore,East,2017-11-07,26.17,DBT 1M F,Singapore_National
Singapore,North,2017-11-08,26.52,DBT 1M F,Singapore_National
Singapore,North-East,2017-11-09,26.09,DBT 1M F,Singapore_National
Singapore,West,2017-11-10,26.13,DBT 1M F,Singapore_National
Singapore,Central,2017-11-11,26.16,DBT 1M F,Singapore_National
Singapore,East,2017-11-12,26.33,DBT 1M F,Singapore_National
Singapore,North,2017-11-13,26.14,DBT 1M F,Singapore_National
Singapore,North-East,2017-11-14,25.06,DBT 1M F,Singapore_National
Singapore,West,2017-11-15,26.38,DBT 1M F,Singapore_National
Singapore,Central,2017-11-16,26.85,DBT 1M F,Singapore_National
Singapore,East,2017-11-17,26.22,DBT 1M F,Singapore_National
Singapore,North,2017-11-18,26.77,DBT 1M F,Singapore_National
Singapore,North-East,2017-11-19,26.73,DBT 1M F,Singapore_National
Singapore,West,2017-11-20,26.42,DBT 1M F,Singapore_National
Singapore,Central,2017-11-21,25.67,DBT 1M F,Singapore_National
Singapore,East,2017-11-22,26.92,DBT 1M F,Singapore_National
Singapore,North,2017-11-23,25.75,DBT 1M F,Singapore_National
Singapore,North-East,2017-11-24,25.35,DBT 1M F,Singapore_National
Singapore,West,2017-11-25,26.43,DBT 1M F,Singapore_National
Singapore,Central,2017-11-26,24.99,DBT 1M F,Singapore_National
Singapore,East,2017-11-27,24.83,DBT 1M F,Singapore_National
Singapore,North,2017-11-28,25.88,DBT 1M F,Singapore_National
Singapore,North-East,2017-11-29,25.64,DBT 1M F,Singapore_National
Singapore,West,2017-11-30,26.2,DBT 1M F,Singapore_National
Singapore,Central,2017-12-01,26.36,DBT 1M F,Singapore_National
Singapore,East,2017-12-02,27.15,DBT 1M F,Singapore_National
Singapore,North,2017-12-03,26.93,DBT 1M F,Singapore_National
Singapore,North-East,2017-12-04,26.57,DBT 1M F,Singapore_National
Singapore,West,2017-12-05,27.1,DBT 1M F,Singapore_National
Singapore,Central,2017-12-06,26.56,DBT 1M F,Singapore_National
Singapore,East,2017-12-07,25.96,DBT 1M F,Singapore_National
Singapore,North,2017-12-08,25.7,DBT 1M F,Singapore_National
Singapore,North-East,2017-12-09,24.72,DBT 1M F,Singapore_National
Singapore,West,2017-12-10,26.4,DBT 1M F,Singapore_National
Singapore,Central,2017-12-11,25.96,DBT 1M F,Singapore_National
Singapore,East,2017-12-12,25.08,DBT 1M F,Singapore_National
Singapore,North,2017-12-13,25.2,DBT 1M F,Singapore_National
Singapore,North-East,2017-12-14,25.89,DBT 1M F,Singapore_National
Singapore,West,2017-12-15,25.65,DBT 1M F,Singapore_National
Singapore,Central,2017-12-16,25.6,DBT 1M F,Singapore_National
Singapore,East,2017-12-17,25.9,DBT 1M F,Singapore_National
Singapore,North,2017-12-18,26.15,DBT 1M F,Singapore_National
